ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
PERM,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"เลขที่ 4, 95-96 หมู่ที่ 6 ตำบลโคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",0-3482-5090-100,"0-3482-5078, 0-3482-5079, 0-3482-5081",http://www.permsin.com,1.00 บาท,755.35,1367.19,1.81,2.28,0.80,3.80,64.31,10.87,1.39,-14.62,6.63,0.25,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษี โดยพิจารณาจากงบการเงินรวมเป็นสำคัญ เว้นแต่ในกรณีที่บริษัทมีโครงการจะลงทุนในโครงการอื่น,นาย ชูเกียรติ ยงวงศ์ไพบูลย์,125950000,16.67,4149.55,2405.31,1712.24,750.01,2139.16,-,76.50,0.10
PF,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารวรสมบัติ ชั้น 17, 100/1 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม. 10320",0-2245-6640-7,0-2247-3328,http://www.pf.co.th,1.00 บาท,10011.08,4104.54,0.41,1.32,0.31,26.55,52.23,25.92,1.03,-18.78,3.61,0.96,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะกิจการหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย ศานิต อรรถญาณสกุล,746975642,7.83,52890.07,37116.14,13187.66,9534.58,1966.46,-33.93,-525.33,-0.06
PG,สินค้าอุปโภคบริโภค,แฟชั่น,666 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กทม. 10120,0-2685-6500,0-2294-5159,http://www.pg.co.th,1.00 บาท,96.00,873.60,9.10,14.76,0.62,39.66,32.78,2.83,0.44,36.84,1.10,0.44,ไม่เกินร้อยละ 50 ของกำไรสุทธิ โดยพิจารณาถึงผลประกอบการและภาวะเศรษฐกิจเป็นหลัก,บริษัท ธนูลักษณ์ จำกัด (มหาชน),13484000,14.05,1643.50,226.22,1417.28,96.00,232.68,0.60,20.77,0.22
PHOL,บริการ,,1/11 หมู่ที่ 3 ถ.ลำลูกกา ต.ลาดสวาย อ.ลำลูกกา ปทุมธานี 12150,0-2791-0111,0-2791-0100-2,http://www.pdgth.com,1.00 บาท,202.50,753.30,3.72,1.81,2.05,10.44,79.03,6.41,0.73,-9.27,8.60,0.90,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษี และหลังหักทุนสำรองตามกฎหมายแล้ว (โดยมีเงื่อนไขเพิ่มเติม),นาย อภิชาติ จารุตั้งตรง,22180000,10.95,659.64,294.36,366.58,202.50,277.36,1.24,17.11,0.08
PICO,บริการ,,10 ซอยลาซาล 56 แขวงบางนาใต้ เขตบางนา กทม. 10260,0-2748-7007,"0-2745-8521, 0-2748-7591",http://www.picothai.com,1.00 บาท,215.29,1076.47,5.00,1.56,3.21,,0.47,0.05,0.02,5.49,,,ประมาณร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้,PICO ART INTERNATIONAL PTE LTD.,86250187,40.06,676.96,340.21,337.07,215.62,477.46,0.82,1.12,0.01
PIMO,สินค้าอุตสาหกรรม,,"เลขที่ 78,78/4,78/5 หมู่ 3 ถนนดอนตูม-นครชัยศรี ตำบลดอนแฝก อำเภอนครชัยศรี นครปฐม 73120",0-3426-5111-8,0-3426-5119,http://www.pioneermotor.th.com,0.25 บาท,634.41,2410.77,3.80,1.17,3.26,21.00,103.65,22.01,0.87,6.74,1.64,0.35,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะกิจการ หลังจากหักเงินสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในข้อบังคับของบริษัทและกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),น.ส. ปรางวดี อิทธิโรจนกุล,67642740,10.66,1108.67,368.09,740.57,158.60,351.68,-,32.67,0.05
PIN,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 789 หมู่ที่ 1 ถนนสายหนองค้อ-แหลมฉบัง ตำบลหนองขาม อำเภอศรีราชา ชลบุรี 20230,0-2294-0066 ต่อ 291,-,https://www.pinthongindustrial.com/,1.00 บาท,1160.00,4361.60,3.76,2.16,1.74,18.16,12.83,5.49,0.82,-6.47,3.99,0.72,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะกิจการภายหลังจากหักภาษีเงินได้นิติบุคคลและเงินทุนสำรองตามกฎหมายและทุนสำรองอื่นตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัทฯ (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ปิ่นทองโฮลดิ้ง จำกัด,435269000,37.52,5157.40,2652.56,2504.84,1160.00,378.48,-,138.11,0.12
PJW,สินค้าอุตสาหกรรม,,"เลขที่ 19, 21 ซอยเอกชัย 63 ถนนเอกชัย แขวงบางบอน เขตบางบอน กทม. 10150",0-2415-1894,0-2415-0951,http://www.pjw.co.th,0.50 บาท,574.08,2399.65,4.18,2.15,1.95,14.27,242.69,62.93,1.05,6.09,3.83,0.55,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะบริษัท หลังหักภาษีเงินได้สำรองตามกฎหมาย และสำรองอื่นๆ ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),นาง มาลี เหมมณฑารพ,67200525,11.71,3261.31,2028.90,1232.41,287.04,916.52,-,41.79,0.07
PK,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,348 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ กทม. 10250,0-2328-1032-49,"0-2328-1245, 0-2328-1058",http://www.patkol.com,1.00 บาท,574.08,2399.65,4.18,2.15,1.95,14.27,242.69,62.93,1.05,6.09,3.83,0.55,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะบริษัท หลังหักภาษีเงินได้สำรองตามกฎหมาย และสำรองอื่นๆ ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),นาง มาลี เหมมณฑารพ,67200525,11.71,4112.01,2469.39,1616.63,600.24,673.22,-,-27.88,-0.05
PL,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเมืองไทยภัทรคอมเพล็กซ์ 1 ชั้น 29, 252/6 ถนนรัชดาภิเษก เขตห้วยขวาง กทม. 10320",0-2693-2288,0-2693-2298-99,http://www.pl.co.th,1.00 บาท,596.51,1765.67,2.96,5.22,0.57,14.50,24.68,4.28,1.07,12.12,3.72,0.54,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลของงบการเงินเฉพาะ และหลังหักสำรองตามกฎหมาย และเงินสะสมอื่นๆ ตามที่บริษัทกำหนด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน),59649200,10.00,11047.12,7933.85,3113.28,596.51,756.93,-,30.17,0.05
PLANB,บริการ,สื่อและสิ่งพิมพ์,1213/420 ซอยลาดพร้าว 94 แขวงพลับพลา เขตวังทองหลาง กทม. 10310,0-2530-8053-6,0-2530-8057,http://www.planbmedia.co.th,0.10 บาท,4279.34,31667.14,7.40,1.77,4.28,241.25,51.93,163.77,1.44,-3.27,,-,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีและหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย ปรินทร์ โลจนะโกสินทร์,843611347,20.12,12699.95,4992.79,7405.41,419.32,1232.69,-,104.32,0.03
PLANET,เทคโนโลยี,,157 ซอยรามอินทรา 34 ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กทม. 10230,0-2792-2400,0-2792-2499,http://www.planetcomm.com,1.00 บาท,375.67,781.39,2.08,1.62,1.28,89.73,133.15,12.18,0.63,-10.34,,-,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิ (โดยมีเงื่อนไขเพิ่มเติม),MR. TREVOR JOHN THOMPSON,61200000,16.29,817.66,207.97,609.69,375.67,114.03,0.33,2.13,0.01
PLAT,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 222/1398 ชั้น 11 อาคารเดอะ แพลทินัม แฟชั่นมอลล์ ถนนเพชรบุรี แขวงถนนเพชรบุรี เขตราชเทวี กทม. 10400,0-2121-9999,0-2121-9000,http://theplatinumgroup.co.th,1.00 บาท,2800.00,9800.00,3.50,2.74,1.28,,4.73,4.07,1.05,17.45,,,ไม่น้อยกว่าประมาณร้อยละ 40 ของกำไรสุทธิหลังหักภาษีและหลังหักสำรองตามกฎหมาย จากงบการเงินเฉพาะของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),นาย สุรชัย โชติจุฬางกูร,874616957,31.24,11843.03,4174.00,7669.03,2800.00,108.69,0.08,-135.15,-0.05
PLE,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,2 ซอยสุขุมวิท 81 (ศิริพจน์) ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กทม. 10260,0-2332-0345,0-2311-0851,http://www.ple.co.th,1.00 บาท,1361.82,1048.60,0.77,1.98,0.39,13.46,15.77,1.76,1.34,-13.48,2.47,0.33,ประมาณ 50% ของกำไรสุทธิหลังหักภาษีและสำรองตามกฏหมายจากผลการดำเนินงานของงบการเงินเฉพาะบริษัท (โดยมีเงื่อนไขเพิ่มเติม),นาย เสวก ศรีสุชาต,178862414,13.13,13575.68,10878.25,2697.45,1361.82,1765.69,-0.34,-50.93,-0.04
PLUS,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,84/3-7 ซอยพระรามที่ 2 ซอย 69 แขวงแสมดำ เขตบางขุนเทียน กทม. 10150,0-2416-9209,0-2416-0219,http://www.royalplus.co.th,0.50 บาท,670.00,4187.50,6.25,,-,35.97,237.21,651.00,-,38.89,,-,ไม่น้อยกว่า 40% ของกำไรสุทธิหลังหักภาษีจากงบเฉพาะกิจการในแต่ละงวด หลังหักเงินสำรองตามกฎหมายและตามที่กำหนดไว้ในข้อบังคับของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),นาย พลแสง แซ่เบ๊,230680600,34.43,858.13,510.14,347.99,250.00,390.19,-,46.79,0.09
PM,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 1 พรีเมียร์คอร์เปอเรทปาร์ค ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม. 10250,0-2301-1000,0-2301-1020,http://www.premier-marketing.co.th,1.00 บาท,598.25,5533.77,9.25,2.76,3.35,16.54,12.47,6.80,0.87,-6.57,4.86,0.80,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้และหักสำรองตามจำนวนที่กฎหมายกําหนด อย่างไรก็ตามการจ่ายเงินปันผลดังกล่าวอาจมีการเปลี่ยนแปลงได้ โดยจะขึ้นอยู่กับแผนการลงทุนความจําเป็นและความเหมาะสมอื่นๆในอนาคต,บริษัท พรีเมียร์ ฟิชชั่น แคปปิตอล จำกัด,273450600,45.71,2727.80,1211.31,1539.69,598.25,1218.72,3.44,87.53,0.16
PMTA,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,26/26-27 อาคารอรกานต์ ชั้นที่ 8 ซอยชิดลม ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2250-0569,0-2657-1040,http://www.pmthoresenasia.com,10.00 บาท,101.20,1285.24,12.70,16.46,0.77,10.73,3.61,0.49,0.74,6.72,3.94,0.42,ไม่น้อยกว่าร้อยละ 25 ของกำไรสุทธิของงบการเงินรวมหลังหักภาษีเงินได้ แต่ไม่รวมกำไรหรือขาดทุนจากอัตราแลกเปลี่ยนที่ยังไม่เกิดขึ้นจริง (โดยมีเงื่อนไขเพิ่มเติม),บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),69338498,68.52,2428.38,762.84,1665.53,1012.00,726.79,-0.50,1.54,0.02
POLAR,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 503/34 อาคาร เค.เอส.แอล ทาวเวอร์ ชั้น 18 ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กทม. 10400,-,-,http://www.polariscap.co.th,30.00 บาท,101.20,1285.24,12.70,16.46,0.77,10.73,3.61,0.49,0.74,6.72,3.94,0.42,ไม่น้อยกว่าร้อยละ 25 ของกำไรสุทธิของงบการเงินรวมหลังหักภาษีเงินได้ แต่ไม่รวมกำไรหรือขาดทุนจากอัตราแลกเปลี่ยนที่ยังไม่เกิดขึ้นจริง (โดยมีเงื่อนไขเพิ่มเติม),บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),69338498,68.52,,,,,,,,
POMPUI,,หมวดบริษัทจดทะเบียนที่อยู่ระหว่างฟื้นฟูการดำเนินงาน,เลขที่ 43 อาคารธนสาร ถนนเชียงใหม่ แขวงคลองสาน เขตคลองสาน กทม. 10600,0-2863-3288,0-2863-3133,http://www.smilingfish.com,1.00 บาท,101.20,1285.24,12.70,16.46,0.77,10.73,3.61,0.49,0.74,6.72,3.94,0.42,ไม่น้อยกว่าร้อยละ 25 ของกำไรสุทธิของงบการเงินรวมหลังหักภาษีเงินได้ แต่ไม่รวมกำไรหรือขาดทุนจากอัตราแลกเปลี่ยนที่ยังไม่เกิดขึ้นจริง (โดยมีเงื่อนไขเพิ่มเติม),บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),69338498,68.52,848.41,585.26,263.15,500.49,344.06,-,-8.21,-0.02
PORT,บริการ,ขนส่งและโลจิสติกส์,51/1 หมู่ที่ 3 ถนนปู่เจ้าสมิงพราย ตำบลบางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ 10130,0-2386-8000,0-2386-8008,http://sahathaiterminal.com/,0.50 บาท,607.20,1335.84,2.20,2.32,0.95,101.18,14.17,2.09,0.96,-18.52,1.14,1.15,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการของบริษัทฯ หลังหักภาษีเงินได้ เงินทุนสำรองตามที่กฏหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท รัตน โฮลดิ้ง จำกัด,209828258,34.56,3646.39,2143.69,1411.12,303.60,578.69,-1.25,-7.83,-0.01
POST,บริการ,สื่อและสิ่งพิมพ์,อาคารบางกอกโพสต์ 136 ถนนสุนทรโกษา แขวงคลองเตย เขตคลองเตย กทม. 10110,0-2616-4000,0-2240-3790,https://www.bangkokpost.co.th/,1.00 บาท,607.20,1335.84,2.20,2.32,0.95,101.18,14.17,2.09,0.96,-18.52,1.14,1.15,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการของบริษัทฯ หลังหักภาษีเงินได้ เงินทุนสำรองตามที่กฏหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท รัตน โฮลดิ้ง จำกัด,209828258,34.56,353.68,665.36,-308.92,500.00,97.37,-,-42.72,-0.09
PPM,สินค้าอุตสาหกรรม,,229 ถนนนครราชสีมา แขวงดุสิต เขตดุสิต กทม. 10300,0-2628-6100,0-2628-8591,http://www.ppm.co.th,0.50 บาท,422.00,1316.64,3.12,2.31,1.35,14.68,318.17,49.94,1.34,-1.89,1.06,0.16,ประมาณร้อยละ 30 ของกําไรสุทธิของงบการเงินเฉพาะกิจการ และหลังจากหักภาษีเงินได้นิติบุคคล และเงินสํารองต่างๆ ทุกประเภทตามที่ได้กําหนดไว้ในข้อบังคับของบริษัทและกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาง กนกกร แทนไกรศร,112400040,26.64,1880.21,905.71,974.87,211.00,497.09,10.36,31.38,0.07
PPP,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,เลขที่ 2 พรีเมียร์เพลซ ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม. 10250,"0-2301-2100, 0-2301-2101",0-2398-1301,http://www.premier-products.co.th,1.00 บาท,300.00,654.00,2.18,3.12,0.70,,11.51,0.68,0.85,-2.68,,,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้ และหักสำรองตามที่กฎหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท พรีเมียร์ รีสอร์ทส์ แอนด์ โฮเทลส์ จำกัด,139737992,46.58,1525.94,350.53,935.41,300.00,201.96,-,-11.54,-0.04
PPPM,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,เลขที่ 62-62/1 หมู่ที่ 2 ถนนรพช.อู่ตะเภา ตำบลหนองชุมพล อำเภอเขาย้อย เพชรบุรี 76140,0-3289-9881-4,0-3289-9885,https://www.ppprime.co.th/,1.00 บาท,2474.89,371.23,0.15,0.03,9.91,,95.74,7.74,1.59,-57.87,,,ไม่น้อยกว่าร้อยละ 60 ของกำไรสุทธิ ตามงบการเงินเฉพาะของบริษัทหลังหักภาษีเงินได้นิติบุคคล ขาดทุนสะสม เงินสำรองตามกฎหมาย และเงินสำรองต่าง ๆ ทั้งหมด (โดยมีเงื่อนไขเพิ่มเติม),LGT BANK (SINGAPORE) LTD,254653598,10.29,1570.72,1421.25,149.48,2349.61,221.05,-27.73,-73.00,-0.03
PPS,อสังหาริมทรัพย์และก่อสร้าง,,381/6 ซอยพระรามเก้า 58 (ซอย 7 เสรี 7) ถนนพระรามเก้า แขวงสวนหลวง เขตสวนหลวง กทม. 10250,0-2718-2785-9,0-2300-5545-6,http://www.pps.co.th,0.25 บาท,859.86,644.89,0.75,0.36,2.10,25.48,98.71,6.53,1.33,-14.77,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิที่เหลือหลังหักเงินสำรองตามกฎหมาย ตามที่ได้กำหนดไว้ในข้อบังคับบริษัท และกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย ประสงค์ ธาราไชย,121485512,14.13,637.73,332.60,307.02,214.96,97.26,-3.88,-0.64,-
PR9,บริการ,การแพทย์,เลขที่ 99 ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กทม. 10310,0-2202-9999,0-2202-9998,http://www.praram9.com,1.00 บาท,786.30,11244.09,14.30,5.64,2.54,30.58,31.91,31.35,0.49,30.00,0.98,0.30,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัท,คุณหญิง พจมาน ดามาพงศ์,292062500,37.14,5267.43,832.50,4434.93,786.30,980.27,-,157.05,0.20
PRAKIT,บริการ,สื่อและสิ่งพิมพ์,88 ซอยสุขุมวิท 62 แยก 3 แขวงพระโขนงใต้ เขตพระโขนง กทม. 10260,0-2332-8555,"0-2332-8522, 0-2332-8544",http://www.prakit.com,1.00 บาท,60.45,610.55,10.10,14.66,0.69,39.64,7.45,0.46,0.28,12.85,5.94,2.35,ไม่น้อยกว่าร้อยละ 60 ของกำไรสุทธิหลังหักภาษี และสำรองตามกฎหมายแล้ว ทั้งนี้ การจ่ายเงินปันผลขึ้นอยู่กับแผนการลงทุนและแผนการใช้เงินของบริษัท,บริษัท ประกิต แอนด์ แอสโซซิเอทส์ จำกัด,15095160,24.97,1277.44,389.25,886.31,60.45,74.00,-6.48,-13.22,-0.22
PRAPAT,สินค้าอุตสาหกรรม,,406 ถนนรัชดาภิเษก แขวงสามเสนนอก เขตห้วยขวาง กทม. 10310,0-2290-1234,0-2290-1249,https://www.peerapat.com,0.50 บาท,374.00,516.12,1.38,1.21,1.14,,121.18,6.63,0.76,-7.44,0.40,,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิหลังหักสำรองตามกฎหมายและเงินสำรองอื่นตามที่บริษัทกำหนด โดยพิจารณาจากงบการเงินเฉพาะกิจการของบริษัท (โดยมีเงื่อนไขเพิ่มเติม),นาย สืบพงศ์ เกตุนุติ,45073312,13.26,1139.22,662.14,453.06,170.00,206.80,-,0.19,-
PREB,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,503 ชั้น1 ถนนบอนด์สตรีท ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี 11120,0-2960-1380-89,0-2960-1392,http://www.prebuilt.co.th,1.00 บาท,308.68,2469.41,8.00,7.68,1.04,9.08,5.09,1.27,0.55,-4.76,5.00,0.45,ไม่เกินร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะกิจการ,นาย วิโรจน์ เจริญตรา,56545363,18.32,6139.19,3770.05,2369.14,308.68,1288.41,-0.88,87.85,0.28
PRECHA,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,1919 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กทม. 10250,0-2722-8855,0-2722-8844,http://www.preecha.com,1.00 บาท,336.00,564.48,1.68,1.12,1.51,,215.92,14.22,1.95,-12.50,,,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิ,บริษัท เนแอ็ค จำกัด,83658837,24.90,473.53,98.86,374.67,336.00,5.36,-,-10.05,-0.03
PRG,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,88 หมู่ที่ 2 ถนนติวานนท์ อำเภอเมือง ปทุมธานี 12000,0-2501-2175,0-2501-2176,http://www.prg.co.th,1.00 บาท,628.55,6914.07,11.00,9.37,1.17,23.79,0.08,0.05,0.30,-5.17,,-,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิ,บริษัท เอ็ม บี เค จำกัด (มหาชน),469487550,74.69,7968.53,2081.74,5886.79,628.55,311.65,-,-59.25,-0.10
PRIME,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 1 อาคารทีพีแอนด์ที ชั้น 22 ซอยวิภาวดีรังสิต19 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม. 10900,0-2105-8686,0-2257-7006,http://www.primeroadpower.com,1.00 บาท,4254.49,6977.36,1.64,0.72,2.29,75.78,6.91,4.89,1.25,-14.14,,-,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการหลังจากการหักทุนสำรองต่าง ๆ ทุกประเภทตามข้อบังคับของบริษัทฯ และตามกฎหมายแล้ว (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ไพร์ม โร้ด แคปปิตอล จำกัด,911526321,21.43,7725.06,4551.53,3048.99,4254.48,114.89,86.49,60.46,0.01
PRIN,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,246 ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน กทม. 10220,0-2022-8988,-,http://www.prinsiri.com,1.00 บาท,1220.01,3660.04,3.00,4.04,0.74,11.44,5.29,1.69,0.49,20.97,2.50,0.29,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิของงบการเงินรวมหลังหักภาษีเงินได้นิติบุคคล (โดยมีเงื่อนไขเพิ่มเติม),น.ส. สิริลักษณ์ โกวิทจินดาชัย,285838256,23.43,10673.32,5750.05,4923.31,1220.01,477.66,-11.20,72.17,0.06
PRINC,บริการ,การแพทย์,เลขที่ 29 ชั้น 23 อาคารบางกอก บิสซิเนสเซ็นเตอร์ ถนนสุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กทม. 10110,0-2714-2171-3,0-2714-2185,http://www.principalcapital.co.th,1.00 บาท,3808.57,22089.71,5.80,2.69,2.16,33.38,11.92,23.75,0.72,22.36,,-,"ไม่น้อยกว่าร้อยละ 40 ของกำไรหลังหักภาษีเงินได้นิติบุคคล,สำรองตามกฎหมาย และสำรองอื่นๆ (โดยมีเงื่อนไขเพิ่มเติม)",น.ส. สาธิตา วิทยากร,1725491745,45.31,18370.27,7002.92,10229.05,3808.57,2155.02,-0.07,420.87,0.11
PRM,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 80 ซอยบางนา-ตราด 30 แขวงบางนาใต้ เขตบางนา กทม. 10260,0-2016-0190-4,0-2016-0199,http://www.primamarine.co.th,1.00 บาท,2500.00,15000.00,6.00,3.63,1.65,11.75,32.77,47.91,1.21,-0.83,4.33,0.51,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษี และเงินสำรองต่าง ๆ ทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท นทลิน จำกัด,1354999800,54.20,17207.06,7786.21,9065.67,2500.00,1499.36,27.31,273.81,0.11
PRO,บริการ,บริการเฉพาะกิจ,1184/38-39 ซอยพหลโยธิน 32 ถนนพหลโยธิน แขวงจันทรเกษม เขตจตุจักร กทม. 10900,0-2942-9480-2,0-2561-0591,http://www.prowaste.co.th,0.70 บาท,2025.09,-,0.35,0.30,-,-,,-,-,0.00,-,-,ไม่เกินร้อยละ 60 ของกำไรสุทธิหลังชำระภาษีและหักสำรองตามกฎหมาย และเงินทุนสำรองอื่นๆ หากไม่มีเหตุจำเป็นอื่นใด (โดยมีเงื่อนไขเพิ่มเติม),น.ส. วิไลลักษณ์ สกุลภักดี,423581774,20.92,800.67,196.90,603.77,1417.56,96.84,-,38.16,0.02
PROEN,เทคโนโลยี,,"72 อาคาร กสท. โทรคมนาคม ชั้น 4,18 ถนนเจริญกรุง แขวงบางรัก เขตบางรัก กทม. 10500","0-2690-3888, 0-2639-7888","0-2639-7892, 0-2691-1898",https://www.proen.co.th/,0.50 บาท,316.00,2101.40,6.65,1.38,4.83,60.63,241.74,61.33,1.03,-6.99,2.37,0.53,ไม่น้อยกว่าร้อยละ 40 ของกําไรสุทธิตามงบการเงินเฉพาะกิจการของบริษัทหลังหักภาษีเงินได้นิติบุคคลและการจัดสรรทุนสํารองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย กิตติพันธ์ ศรีบัวเอี่ยม,90425700,28.62,1749.91,1314.51,435.38,158.00,508.59,-,14.54,0.05
